text;label
Trying to have a conversation with my dad about vegetarianism is the most pointless infuriating thing ever #caveman ;0
#latestnews 4 #newmexico #politics + #nativeamerican + #Israel + #Palestine  -  Protesting Rise Of Alt-Right At... ;1
@user You are a stand up guy and a Gentleman Vice President Pence ;2
@user @user @user Looks like Flynn isn't too pleased with me, he blocked me. You blocked by Flynn too @user ;0
perfect pussy clips #vanessa hudgens zac efron naked ;1
i'm not even catholic, but pope francis is my dude. like i just need him to hug me and tell me everything is okay. ;2
@user for al the crying you do about how middle America is left out-they have twice as much voting power ;0
Sentinel Editorial: FBI’s Comey ‘had no one of middle class families. ;1
Samsung to Bring Android 7.0 Nougat to Galaxy S6, S6 edge, Note 5, and Tab S2 - Softpedia News ;2
Israel deems comatose Gaza man who needs treatment in West Bank  a security threat. #Palestine  via @user ;0
Presenting the Red Line symptoms of Aconite in two slides.I <3 Homeopathy ;1
I will go so far to say s1 of westworld isn't just good, it's brilliant. A story within a story within a story about storytelling ;2
Iraqi Forces set to storm 3 areas of #Mosul, #AlQahira, #alMasarif &  #alAmn#MosulOps#mosuloffensive#iraq#ISIS… ;0
"Alfred Essa, VP Analytics & R&D @user talks about ""Deep Learning Primer for Business Leaders"" @ #PAChicago N… ";1
#NationalFastFoodDay Would love to live there. Chick-fil-A 😍 ;2
Electoral College must reject Trump #rejecttrump #notmypresident #takingbackdemocracy #blacklivesmatter #nevertrump ;0
Git 'em girls #BarackObama #blm #blacklivesmatter #mylifematters #therealskinnysuge #thepeopleschamp #skinnyup #pmd… ;1
The Reputation Doctor weighs in on Tony Romo #NFL @user joins @user on #TheMorningRush LISTEN: ;2
Stop #fracking #Cuadrilla persecuting land defenders through the legal system #BankruptCuadrilla #ECOCIDE ;0
"#Valentines #Gifts Polo Ralph Lauren Bear Plush 15"" Jointed #TeddyBear 1997 Sweater Stuffed Animal… ";1
So proud of way @user & #trumpTransitionteam are molding strong leadership group for #America #TeamTrump #MakeAmericaGreatAgain ;2
@user Everyone's thinking far too short-termed. When all fossil fuels run out with no substitutes, then the crisis will come. ;0
Go fight 4 REAL women's rights like 4 the ones who suffer in human trafficking or from being raped by rapeugees.Or… ;1
@user @user - #ScreamQueens so lucky to get to work with TK. ;2
@user @user @user Why is it that today society is casually comfortable about being pubicly distasteful?#deplorables ;0
@user top candidate for NL Cy Young inevitably... ;1
This is a big deal and a smart move by Microsoft: ;2
Ben Carson for Housing & Urban Development?? 😐 I just can't 😒 ;0
Ah the time-honoured tradition of wrapping a hard day's work with a #mannequinchallenge ;1
Digesting while watching #ScreamQueens s1 Thanksgiving & Black Friday eps. SO SO GOOD!! ;2
Israel's New Racism: Persecution of African Migrants in Holy Land #gaza #palestine #israel #BDS ;0
cause like euthanasia get it? lmaooo ;1
I've been listening to Leonard Cohen nonstop for the past month. Only to find out he passed literally weeks ago. Wow my heart is so overwhel ;2
@user She just didn't get them in areas were she needed them. Lots of voter suppression going on. Hacking & tampering💙 ;0
Pictures: Players on the bench during the game. #fcblive  ;1
